0.43239, 0.51499
0.81093, 0.48291
0.75291, 0.63093
0.87442, 0.21609
0.93799, 0.29129
0.54016, 0.6076
0.64079, 0.51174
0.6786, 0.02524
0.53503, 0.05521
0.24326, 0.28136
0.63599, 0.2876
0.56637, 0.73495
0.69636, 0.07046
0.52535, 0.7682
0.70718, 0.38239
0.6254, 0.24542
0.33266, 0.16158
0.18631, 0.14156
0.59962, 0.32877
0.54243, 0.29717
0.57519, 0.61467
0.562, 0.195
0.07141, 0.02521
0.44106, 0.18433
0.83516, 0.25458
0.67566, 0.45002
0.11125, 0.11188
0.75243, 0.01016
0.10481, 0.13714
0.76295, 0.3046
0.68699, 0.31869
0.47151, 0.21033
0.64157, 0.66502
0.36958, 0.2673
0.82835, 0.09614
0.58419, 0.50327
0.76274, 0.19915
0.59938, 0.23022
0.23763, 0.07995
0.67967, 0.07501
0.29982, 0.12393
0.66177, 0.14287
0.72703, 0.19601
0.38037, 0.56846
0.92906, 0.10389
0.35077, 0.47818
0.34204, 0.18245
0.48061, 0.47632
0.3798, 0.19128
0.87721, 0.31674
0.60631, 0.22079
0.93003, 0.17665
0.71988, 0.68779
0.64411, 0.65434
0.72501, 0.52632
0.27137, 0.35634
0.14266, 0.1968
0.27556, 0.41759
0.58719, 0.07529
0.47378, 0.73023
0.45843, 0.03917
0.53103, 0.75592
0.59572, 0.05624
0.59125, 0.27424
0.50399, 0.03069
0.55668, 0.17886
0.51487, 0.43206
0.62201, 0.48623
0.30428, 0.25358
0.45458, 0.06925
0.92755, 0.00434
0.60435, 0.07311
0.36562, 0.53626
0.87706, 0.28145
0.95547, 0.12098
0.63099, 0.67046
0.89374, 0.10853
0.54112, 0.50043
0.33827, 0.18375
0.38855, 0.44749
0.73662, 0.53512
0.61653, 0.15719
0.45724, 0.23215
0.83879, 0.15222
0.68735, 0.39108
0.42315, 0.46962
0.35215, 0.27039
0.79435, 0.01086
0.43053, 0.20245
0.89061, 0.44032
0.70297, 0.61948
0.32801, 0.3379
0.46764, 0.20175
0.17053, 0.2133
0.38806, 0.25657
0.28651, 0.19609
0.73978, 0.17224
0.28485, 0.42814
0.87658, 0.14095
0.84352, 0.19482
