feature_1,feature_2
-13.25019969416618,45.88527070637057
-13.241114654482447,44.372836010636235
-12.183044707914702,42.201510274004924
-15.133364864033304,44.227999347130165
-14.06523479576539,45.54280163988453
-13.90802422854557,42.95297508898869
-10.347514961881423,44.73276619026182
-12.444695808231868,42.934308361671434
-13.362562202051528,45.23781452555642
-14.272478481397208,45.63497766851013
-13.446946150141962,44.633890016301706
-13.44854803360785,47.84984791775503
-12.566233952370654,43.48486424755777
-11.31217074710897,43.24016516603509
-12.232692722756621,42.13192545517196
-14.5382671886114,45.366722494795304
-11.438288245270638,45.32848306277658
-12.719460538846114,44.619775097607686
-14.763771100814894,43.99166432839956
-13.236946271703435,46.65711398032
-12.030560680911062,42.42687040794752
-12.05986216117156,44.493807220367145
-13.561371115722691,45.988945074252925
-10.999488831519827,46.46835081966592
-13.804814400097712,44.6076120772148
-12.049092968158408,46.53474833167516
-13.264749472031689,44.7929421759959
-14.205490576272796,43.27712070487062
-11.327199381672457,47.10579068384786
-12.654003297634254,46.57672998782966
-12.003534077692303,44.103751009083936
-12.003894707001132,47.37848549069058
-12.599727173928681,47.41839612471263
-16.47560577139837,46.304284397554454
-12.415417512906497,44.62291961529282
-12.4083469504605,42.09007726909028
-12.875495947020022,45.60709949825924
-10.32914704815148,44.29402531358115
-13.758728519603535,44.318795075614815
-11.172884938710641,45.564557305481145
-13.340628420914312,45.841331790661656
-12.400371791241692,46.524398126790956
-13.599067756079782,44.57993742109497
-13.13415034496199,42.87615821879344
-12.101807699666889,45.463013549261454
-12.538317930300062,44.7195499409289
-14.669044228339375,44.440462656843586
-13.060059890053907,43.86801473715919
-12.787916682762766,45.67750692621343
-9.716709263447958,45.33329736023938
-12.159662529179608,44.95976176734237
-15.424144938212315,45.0316598278178
-12.455642800352214,48.76629380971955
-12.834529562435437,45.52375165449204
-12.598055769821618,43.31841358456232
-10.831753893491223,46.19933019002178
-11.359440194699182,43.70734945879951
-10.441796648859604,42.9686540468032
-11.665702474563348,48.35711407970659
-14.031792602959786,44.221984046587465
-12.396511067632291,44.31621715981732
-14.871983261862953,45.174275103200664
-14.13944368585291,45.7818192869444
-13.925124466614458,47.39633224851793
-13.72086805376811,44.58833836668311
-11.32571228920925,43.22513416634069
-12.20479821335756,47.032144772415265
-14.957212967105594,45.34838142879008
-12.156163923891118,46.244164948657584
-14.401414181580876,43.09074572136521
-11.763075766838407,45.516907650841404
-12.17024883974494,45.59110295523708
-13.56602519763149,45.41981118673313
-12.106379405315732,43.99990351395207
-9.747326348546618,45.782180022359306
-14.332943361067727,46.056261053942364
-14.008010620604736,46.2520575466053
-10.808094746752648,43.84040716346406
-11.100923921397271,45.69060203139637
-11.312897875272018,47.916620114972545
-12.914070289268059,43.940826394455385
-13.880259759702039,43.84771521354347
-12.66164067938491,45.58315860321659
-12.130951916268724,46.31220551454566
-12.526485277446893,47.251731756727594
-12.942973365120688,49.15168439087605
-11.607487093616244,43.7856943063672
-14.152326862355423,45.7951392638564
-12.88118229325253,46.14243138212976
-11.836131678403436,44.96218727200631
-13.81617869236636,42.79915980396282
-13.215760543364285,46.35602883247683
-12.224847499068447,43.20282247292364
-12.28621672648698,45.64940671058488
-13.871774269565453,45.30201829990991
-12.458675037594753,43.356975194245685
-12.00930707474133,45.91260743054397
-10.921411250500839,46.652133719043974
-14.61249216719939,43.66469308111894
-11.773435214450764,45.842109567359934
-11.773416585804682,50.8505278769737
-11.689652349224003,46.77477910126252
-11.11498547002395,46.048517517950316
-13.018891982224272,46.20988447173152
-13.70522593707011,44.716202730881605
-13.27403343700741,45.19424185007111
-9.07400026525349,42.270532852104
-11.516597829701983,42.65235683420715
-13.253885913947904,46.70485653644267
-12.449568086620559,43.45481347409766
-13.618943679153706,46.09082726439364
-13.641538062839459,45.396118525364585
-12.477630355408033,44.0940301195829
-9.330071981275765,46.02230917446864
-15.583701995250165,45.35111211314576
-13.538667812416335,46.350080643185954
-13.734769222912805,44.899325978791275
-11.788507196793068,46.3700634322468
-14.346432725847418,44.5696787872302
-13.258406082005187,44.091436792131056
-9.897806754842108,45.67890320743305
-14.437314046766321,46.44822356157378
-9.362753819744803,46.620128531818345
-14.825043064194773,44.34507953169224
-10.64562139148382,44.009926442563454
-11.88025897304441,46.23338172113563
-13.936383822630878,44.98214260689892
-17.40788912536736,43.534849178990186
-12.924840342353495,43.19975586804435
-10.0973711593663,42.92621857405067
-13.206054845309229,45.26754150692076
-10.38407818166458,42.91763741422246
-10.801242487031313,45.086780232521
-14.01825109183568,45.76458585238653
-12.247398571903549,44.17110532525343
-12.441284987778726,44.493460245698984
-12.37571209738688,46.06462665277319
-10.166962891045726,43.21470739275135
-9.346438053279353,42.14329894170787
-12.77366575781713,45.953906450718485
-12.124500313661205,44.13738136126073
-12.858171490799666,44.33192923900337
-13.43003525068007,46.34583378652316
